Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23197269,Aurora,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316098108""","=""9780316098106""",0,3.78,Orbit,Hardcover,466,2015,2015,,2017/02/11,to-read,to-read (#8),to-read,,,,0,0
92544,Angry Candy,Harlan Ellison,"Ellison, Harlan",,"=""0395924812""","=""9780395924815""",5,4.14,Mariner Books,Paperback,324,1998,1985,,2017/02/11,,,read,,,,2,0
30165203,"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.10,William Morrow,Kindle Edition,635,2011,2001,,2017/02/11,,,read,,,,2,0
21348,Aesop’s Fables,Aesop,"Aesop, Aesop","Laura Harris, V.S. Vernon Jones, Edward Julius Detmold, G.K. Chesterton, Laura   Gibbs","=""0192840509""","=""9780192840509""",5,4.05,Oxford University Press,Paperback,352,2003,-560,,2017/02/11,,,read,,,,2,0
16131226,"This is How You Die: Stories of the Inscrutable, Infallible, Inescapable Machine of Death (Machine of Death, #2)",Ryan North,"North, Ryan","Matthew Bennardo, David Malki, 'Nathan Burgoine, Toby W. Rush, Rhiannon Kelly, Ryan Estrada, George Page III, Chandler Kaiden, Tom Francis, Grace Seybold, D.L.E. Roger, Daliso Chaponda, John Takis, Ada Hoffmann, Karen Stay Ahlstrom, Gord Sellar, Marleigh Norton, Sarah Pavis, Ren Warom, Liz Argall, John Chernega, Bill Chernega, Richard Salter, Ed    Turner, Hollan Lane, Martin Livings, Kyle Schoenfeld, M.J. Leitch, Brigita Orel, Erika Hammerschmidt, Rebecca    Black","=""1455529397""","=""9781455529391""",0,4.11,Grand Central Publishing,Paperback,508,2013,2013,,2015/07/02,to-read,to-read (#1),to-read,,,,0,0
26114433,Infomocracy (Centenal Cycle #1),Malka Ann Older,"Older, Malka Ann",,"=""0765385155""","=""9780765385154""",0,3.62,Tor.com,Hardcover,380,2016,2016,,2017/01/02,to-read,to-read (#2),to-read,,,,0,0
848029,Great Tales of Science Fiction,Robert Silverberg,"Silverberg, Robert",Martin H. Greenberg,"=""0883657015""","=""9780883657010""",0,3.82,Castle,Hardcover,529,1985,1986,,2017/02/11,to-read,to-read (#7),to-read,,,,0,0
16686,The Fantasies of Robert A. Heinlein,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0312875576""","=""9780312875572""",0,3.90,Tor Books,Paperback,342,2002,1999,,2017/02/11,to-read,to-read (#5),to-read,,,,0,0
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",Roger Zelazny,"=""""","=""""",0,4.09,Del Rey / Ballantine Books,Paperback,244,1996,1968,,2017/02/11,to-read,to-read (#4),to-read,,,,0,0
23196,The River Why,David James Duncan,"Duncan, David James",,"=""0553344862""","=""9780553344868""",0,4.22,Bantam,Paperback,293,1984,1983,,2017/02/11,to-read,to-read (#3),to-read,,,,0,0
4948,The Very Hungry Caterpillar,Eric Carle,"Carle, Eric",,"=""0241003008""","=""9780241003008""",4,4.34,Puffin Books,Board book,26,1994,1969,,2015/07/02,,,read,,,,1,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen","=""""","=""""",5,4.24,HarperCollins Publishers,Paperback,206,2005,1950,,2015/07/02,,,read,,,,1,0
30119,Where the Sidewalk Ends,Shel Silverstein,"Silverstein, Shel",,"=""0060513039""","=""9780060513030""",5,4.35,Harpercollins Childrens Books,Hardcover,176,2002,1974,,2015/07/02,,,read,,,,1,0
19543,Where the Wild Things Are,Maurice Sendak,"Sendak, Maurice",,"=""0099408392""","=""9780099408390""",2,4.26,Red Fox,Paperback,38,2000,1963,,2015/07/02,,,read,,,,1,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",5,4.33,Scribner,Paperback,288,2006,2005,,2015/07/02,,,read,,,,1,0
9548075,"Machine of Death: A Collection of Stories About People Who Know How They Will Die (Machine of Death, #1)",Ryan North,"North, Ryan","Matthew Bennardo, David Malki","=""0982167121""","=""9780982167120""",5,3.93,Bearstache Books,Paperback,452,2010,2010,,2015/07/02,,,read,,,,1,0
873165,The Annapolis Book of Seamanship,John Rousmaniere,"Rousmaniere, John",Mark Smith,"=""0684854201""","=""9780684854205""",5,4.45,Simon & Schuster,Hardcover,403,1999,,,2015/07/02,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.42,Crown Publishers,Hardcover,369,2014,2011,,2015/07/02,,,read,,,,1,0
,"A Marriage at Sea: A True Story of Love, Obsession, and Shipwreck",Sophie Elmhirst,"Elmhirst, Sophie",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by Luisa,0,0
,"Revelation Space (Revelation Space, #1)",Alastair Reynolds,"Reynolds, Alastair",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by Ian (said anything by Alastair Reynolds),0,0
,"Live Free or Die (Troy Rising, #1)",John Ringo,"Ringo, John",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by Ian (the Troy Rising series),0,0
,"On Basilisk Station (Honor Harrington, #1)",David Weber,"Weber, David",,"=""""","=""""",0,,,,,,,,2026/07/14,to-read,,to-read,,,recommended by Ian (the Honor Harrington series),0,0
